filename,file_path,blood_type,fingerprint_type,P_Arc,P_Whorl,P_Loop
augmented_cluster_7_4139.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4139.BMP,O-,class3_loop,0.1825169324874878,0.3850482702255249,0.4324348270893097
augmented_cluster_7_4448.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4448.BMP,O-,class3_loop,0.20244359970092773,0.3689439594745636,0.4286123812198639
augmented_cluster_7_429.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_429.BMP,O-,class3_loop,0.23177708685398102,0.34849563241004944,0.41972723603248596
augmented_cluster_7_413.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_413.BMP,O-,class3_loop,0.37891802191734314,0.1729489415884018,0.44813302159309387
augmented_cluster_7_4193.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4193.BMP,O-,class3_loop,0.15321028232574463,0.38188520073890686,0.4649045169353485
augmented_cluster_7_4460.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4460.BMP,O-,class1_arc,0.5133097767829895,0.1987670361995697,0.28792324662208557
augmented_cluster_7_4067.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4067.BMP,O-,class3_loop,0.24677753448486328,0.30534616112709045,0.44787636399269104
augmented_cluster_7_4325.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4325.BMP,O-,class1_arc,0.5543990731239319,0.14505614340305328,0.3005448281764984
augmented_cluster_7_4132.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4132.BMP,O-,class3_loop,0.2509992718696594,0.1892663538455963,0.5597343444824219
augmented_cluster_7_4131.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4131.BMP,O-,class3_loop,0.12573455274105072,0.22784002125263214,0.6464254260063171
augmented_cluster_7_4431.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4431.BMP,O-,class3_loop,0.2230743169784546,0.2882765829563141,0.4886491298675537
augmented_cluster_7_4199.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4199.BMP,O-,class3_loop,0.24084937572479248,0.2423992156982422,0.5167514085769653
augmented_cluster_7_4219.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4219.BMP,O-,class3_loop,0.2822206914424896,0.3063316345214844,0.4114477038383484
augmented_cluster_7_4081.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4081.BMP,O-,class3_loop,0.2743208408355713,0.2113194614648819,0.514359712600708
augmented_cluster_7_442.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_442.BMP,O-,class2_whorl,0.15029187500476837,0.4773462414741516,0.3723618686199188
augmented_cluster_7_4452.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4452.BMP,O-,class2_whorl,0.20737215876579285,0.4013060927391052,0.39132168889045715
augmented_cluster_7_4061.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4061.BMP,O-,class3_loop,0.27601462602615356,0.2776104807853699,0.44637489318847656
augmented_cluster_7_430.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_430.BMP,O-,class1_arc,0.5640619993209839,0.15878312289714813,0.27715495228767395
augmented_cluster_7_437.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_437.BMP,O-,class3_loop,0.20633924007415771,0.376937597990036,0.4167231023311615
augmented_cluster_7_4414.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4414.BMP,O-,class3_loop,0.23710685968399048,0.284717321395874,0.4781758189201355
augmented_cluster_7_4232.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4232.BMP,O-,class3_loop,0.24974325299263,0.2218250036239624,0.52843177318573
augmented_cluster_7_4353.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4353.BMP,O-,class2_whorl,0.06323970854282379,0.6405115723609924,0.29624873399734497
augmented_cluster_7_4361.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4361.BMP,O-,class1_arc,0.5340520143508911,0.1860789805650711,0.279869019985199
augmented_cluster_7_4436.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4436.BMP,O-,class3_loop,0.09617027640342712,0.43742427229881287,0.4664055109024048
augmented_cluster_7_4265.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4265.BMP,O-,class3_loop,0.19674670696258545,0.32822173833847046,0.47503161430358887
augmented_cluster_7_4416.BMP,/content/drive/MyDrive/New Bloodtype Detection/dataset/O-/augmented_cluster_7_4416.BMP,O-,class2_whorl,0.07706645131111145,0.6325505971908569,0.290382981300354
